Индекс,Тип региона,Регион,Тип района,Район,Тип города,Город,Тип н/п,Н/п,Код КЛАДР,Код ФИАС,Уровень по ФИАС,Признак центра района или региона,Код ОКАТО,Код ОКТМО,Код ИФНС,Часовой пояс,Широта,Долгота,Федеральный округ,Население
385200,Респ,Адыгея,,,г,Адыгейск,,,0100000200000,ccdfd496-8108-4655-aadd-bd228747306d,4: город,0,79403000000,79703000001,0107,UTC3,44.8783715,39.190172,Южный,12689
385000,Респ,Адыгея,,,г,Майкоп,,,0100000100000,8cfbe842-e803-49ca-9347-1ef90481dd98,4: город,2,79401000000,79701000001,0105,UTC4,44.6098268,40.1006527,Южный,144055
649000,Респ,Алтай,,,г,Горно-Алтайск,,,0400000100000,0839d751-b940-4d3d-afb6-5df03fdd7791,4: город,2,84401000000,84701000,0400,UTC9,51.9582681,85.9602957,Сибирский,62861
658125,край,Алтайский,,,г,Алейск,,,2200000200000,ae716080-f27b-40b6-a555-cf8b518e849e,4: город,0,01403000000,01703000,2201,UTC10,52.4920914,82.7794145,Сибирский,28528
656000,край,Алтайский,,,г,Барнаул,,,2200000100000,d13945a8-7017-46ab-b1e6-ede1e89317ad,4: город,2,01401000000,01701000,2200,UTC11,53.3481145,83.7798362,Сибирский,635585
659900,край,Алтайский,,,г,Белокуриха,,,2200000300000,e4edca96-9b86-4cac-8c7f-cc93d9ba4cd1,4: город,0,01404000000,01704000001,2204,UTC12,51.9960534,84.9840343,Сибирский,15072
659300,край,Алтайский,,,г,Бийск,,,2200000400000,52f876f6-cb1d-4f23-a22f-b692609fc1e0,4: город,0,01405000000,01705000001,2204,UTC13,52.5393683,85.2138852,Сибирский,203826
658420,край,Алтайский,р-н,Локтевский,г,Горняк,,,2202700100000,094b3627-2699-4782-8492-4d82aac71958,4: город,1,01225501000,01625101,2209,UTC14,50.9979032,81.4643059,Сибирский,13040
659100,край,Алтайский,,,г,Заринск,,,2200001100000,142e04ef-dec1-44fa-b553-fac215764374,4: город,0,01406000000,01706000001,2208,UTC15,53.7063495,84.9314703,Сибирский,47035
658480,край,Алтайский,р-н,Змеиногорский,г,Змеиногорск,,,2201500100000,e7001b8f-d104-4873-96d4-66339f5e530a,4: город,1,01214501000,01614101,2209,UTC16,51.1580235,82.1872476,Сибирский,10569
658700,край,Алтайский,р-н,Каменский,г,Камень-на-Оби,,,2201800100000,810ca9c7-f10e-4def-9c48-f0aa83168ca7,4: город,1,01216501000,01616101001,2207,UTC17,53.7915454,81.3545173,Сибирский,41787
658041,край,Алтайский,,,г,Новоалтайск,,,2200000800000,aa288d9f-4b2a-42a6-97f0-3502dddfa383,4: город,0,01413000000,01713000001,2208,UTC18,53.4120811,83.9311249,Сибирский,73134
658200,край,Алтайский,,,г,Рубцовск,,,2200000900000,65db5c88-c65c-43f0-9c21-13e15a032d4a,4: город,0,01416000000,01716000,2209,UTC19,51.5013075,81.2077729,Сибирский,146386
658820,край,Алтайский,,,г,Славгород,,,2200001000000,94ae181d-b153-4dd1-8a2f-12852919875f,4: город,0,01419000000,01719000001,2210,UTC20,52.9993053,78.6459674,Сибирский,30370
658837,край,Алтайский,,,г,Яровое,,,2200001200000,e07d57ed-22ce-4020-b59c-f7aae6f091bf,4: город,0,01430000000,01730000,2210,UTC21,52.9251728,78.5729898,Сибирский,18085
676805,обл,Амурская,,,г,Белогорск,,,2800000300000,c528e99b-7e81-4290-9cda-8713884472a5,4: город,0,10410000000,10710000,2804,UTC24,50.9212235,128.4738742,Дальневосточный,68220
675000,обл,Амурская,,,г,Благовещенск,,,2800000100000,8f41253d-6e3b-48a9-842a-25ba894bd093,4: город,2,10401000000,10701000,2801,UTC25,50.2905935,127.5272186,Дальневосточный,214397
676870,обл,Амурская,р-н,Завитинский,г,Завитинск,,,2800500100000,7b39476f-0edb-4bc3-bb31-6cedfb2aa695,4: город,1,10221501000,10621101,2813,UTC26,50.1064678,129.4392897,Дальневосточный,11481
676151,обл,Амурская,,,г,Зея,,,2800000400000,581855f4-f0bc-44a5-a36e-a298279f9ec4,4: город,0,10412000000,10712000,2815,UTC27,53.7339151,127.2658079,Дальневосточный,25042
676770,обл,Амурская,,,г,Райчихинск,,,2800000200000,981b5f3a-f0b6-444f-a6fb-c2bc10804b31,4: город,0,10420000000,10720000,2813,UTC28,49.7941882,129.4112149,Дальневосточный,20499
676450,обл,Амурская,,,г,Свободный,,,2800000500000,dd560dfa-3feb-48e2-aa3b-b71213e7441e,4: город,0,10430000000,10730000,2807,UTC29,51.361264,128.1218995,Дальневосточный,58594
676011,обл,Амурская,р-н,Сковородинский,г,Сковородино,,,2801700100000,260c545f-883c-440a-852c-c39a65fe4104,4: город,1,10249501000,10649101,2808,UTC30,53.9871004,123.943729,Дальневосточный,9561
676280,обл,Амурская,,,г,Тында,,,2800000600000,007e010f-e110-4a55-90a7-c4acac623c9b,4: город,0,10432000000,10732000,2808,UTC31,55.1546401,124.7468634,Дальневосточный,35574
676470,обл,Амурская,,,г,Циолковский,,,2800001000000,f9ce3255-3f79-4457-919c-d180fa813b6a,4: город,0,10570000000,10770000001,2807,UTC32,51.7624346,128.121972,Дальневосточный,6208
676301,обл,Амурская,,,г,Шимановск,,,2800000700000,809f0591-bb18-40a2-9fac-7d3d0a22c0bf,4: город,0,10440000000,10740000,2807,UTC33,52.0052856,127.7006559,Дальневосточный,19815
163000,обл,Архангельская,,,г,Архангельск,,,2900000100000,06814fb6-0dc3-4bec-ba20-11f894a0faf5,4: город,2,11401000000,11701000,2901,UTC28,64.5392985,40.5170083,Северо-Западный,348716
165150,обл,Архангельская,р-н,Вельский,г,Вельск,,,2900200100000,71051070-fce3-4a4d-a9d9-cd50f6dc6310,4: город,1,11205501000,11605101,2907,UTC29,61.0660057,42.1032858,Северо-Западный,23885
164110,обл,Архангельская,р-н,Каргопольский,г,Каргополь,,,2900600100000,a670f317-f3c4-4dd6-9d27-fa68a8b28b6f,4: город,1,11218501000,11618101,2918,UTC30,61.5008762,38.9636415,Северо-Западный,10148
165650,обл,Архангельская,,,г,Коряжма,,,2900000500000,782acb50-ddfa-4483-bcbd-a5e667976036,4: город,0,11408000000,11708000,2904,UTC31,61.2885993,47.1002315,Северо-Западный,39629
165300,обл,Архангельская,р-н,Котласский,г,Котлас,,,2900800100000,93adb246-540e-40a2-a0fd-e96ca6796589,4: город,1,11410000000,11710000,2904,UTC32,61.2529842,46.6331915,Северо-Западный,60562
164750,обл,Архангельская,р-н,Мезенский,г,Мезень,,,2901200100000,8a49f67f-6c48-4160-bd1d-ebc188a69269,4: город,1,11242501000,11642101,2932,UTC33,65.8398386,44.2531865,Северо-Западный,3599
164170,обл,Архангельская,,,г,Мирный,,,2900000200000,977c7606-1b37-4424-84f7-b0c66c3e4b94,4: город,0,11525000000,11725000,2920,UTC34,62.7644267,40.3359976,Северо-Западный,30259
164900,обл,Архангельская,,,г,Новодвинск,,,2900000300000,3b0ef6c2-9bcd-44a5-afec-2723bd8190bc,4: город,0,11415000000,11715000,2900,UTC35,64.4136023,40.8208003,Северо-Западный,40612
164200,обл,Архангельская,р-н,Няндомский,г,Няндома,,,2901300100000,491b0861-0da5-4781-9c2c-521df0ea7af6,4: город,1,11244501000,11644101,2918,UTC36,61.6653735,40.2061699,Северо-Западный,22354
164840,обл,Архангельская,р-н,Онежский,г,Онега,,,2901400100000,53e6ddd5-a1fb-4444-89a4-3952ef6f114b,4: город,1,11420000000,11646101001,2900,UTC37,63.9163966,38.0805749,Северо-Западный,21359
164500,обл,Архангельская,,,г,Северодвинск,,,2900000400000,32747c72-c08b-4440-b340-91f48d72f9db,4: город,0,11430000000,11730000,2932,UTC38,64.56253,39.8182715,Северо-Западный,192265
165330,обл,Архангельская,р-н,Котласский,г,Сольвычегодск,,,2900800300000,a56a44ee-f79d-4e51-b219-c3c828c7e0c0,4: город,0,11227504000,11627104,2904,UTC39,61.3318091,46.920351,Северо-Западный,2460
165160,обл,Архангельская,р-н,Шенкурский,г,Шенкурск,,,2901900100000,74a26d75-38a6-485a-9468-52dd7c6711fa,4: город,1,11258501000,11658101,2907,UTC40,62.1057423,42.89959,Северо-Западный,5702
414000,обл,Астраханская,,,г,Астрахань,,,3000000100000,a101dd8b-3aee-4bda-9c61-9df106f145ff,4: город,2,12401000000,12701000,3000,UTC42,46.3655808,48.0559979,Южный,520662
416500,обл,Астраханская,р-н,Ахтубинский,г,Ахтубинск,,,3000200100000,8d7acd62-cef4-4d5c-8057-644ee454ce6c,4: город,1,12205501000,12605101,3022,UTC43,48.2753078,46.1906741,Южный,41898
416540,обл,Астраханская,,,г,Знаменск,,,3000000200000,54ecd5a8-83d9-4a85-ae2c-6fe6976ab716,4: город,0,12519000000,12719000,3022,UTC44,48.5865618,45.7367908,Южный,29357
416340,обл,Астраханская,р-н,Камызякский,г,Камызяк,,,3000600100000,bc643e13-dcc5-4fa4-8cb1-94f71c5c18f4,4: город,1,12225501000,12625101,3023,UTC45,46.1105429,48.0732724,Южный,16291
